lemma_kek,gloss_kek,gloss_en,gloss_en_past,gloss_en_pp,gloss_es,gloss_es_past_3sg,gloss_es_pp,gloss_es_gerund,category,transitivity,agent_class_any_of,agent_class_none_of,theme_class_any_of,theme_class_none_of,goal_class_any_of,goal_none_of,notes,p_weight,p_debug_percent
wech',wech'ok,protest,,,protestar,,,,v_social|v_communicative,intr,human;kinship;occupation,emotion,,,,,,926.1187281287937,0.3742146196047487
kel,kelonk,pull,,,jalar,,,,v_action|v_conflict,tr,human;kinship,,,,,,,1634.3058427231376,0.6603701239128875
min,minok,push,,,empujar,,,,v_action|v_conflict,tr,human;kinship,emotion,human;kinship;animal_domesticated,,,,,1634.3058427231376,0.6603701239128875
xka’awke,xka’awkenk,replant,,,replantar,,,,v_creation|v_work|v_motion,tr,human;kinship,emotion,plant,,,,,34.673685045253166,0.01401051448956317
eqaju,eqajunk,reward,,,recompensar,,,,v_social|v_commerce,tr,human;kinship,emotion,human;kinship,,,,,770.3120057972146,0.31125816320419725
q'ano',q'ano'k,ripen,,,madurar,,,,v_environmental|v_process,intr,fruit,,,,,,,205.746915604784,0.08313567301835972
pom,pomok,roast,,,asar,,,,v_creation|v_process|v_work,tr,human;kinship,emotion,food;plant,,,,,380.1893963205613,0.15362223654554183
q’a,q’ak,rot,,rotten,pudrirse,,pudrido,,v_environmental|v_process,intr,food;fruit;plant,,,,,,,292.8644564625237,0.1183370531684505
jil,jilok,rub,,,frotar,,,,v_action|v_process,tr,human;kinship,emotion,body_part,,,,,443.2682923460091,0.17911037792990195
aanil,aanilak,run,ran,run,correr,corrió,corrido,,v_motion|v_action,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,4570.881896148751,1.8469455136508834
mo’o,mo’onk,rust,,,oxidarse,,,,v_environmental|v_process,intr,tool,,,,,,,311.41055844467616,0.12583093304325302
q’ole,q’olenk,rust,,,oxidarse,,,,v_environmental|v_process,intr,tool,,,,,,,311.41055844467616,0.12583093304325302
atz’ama,atz’amank,salt,,,salar,,,,v_creation|v_process,tr,human;kinship,emotion,food,,,,,1165.9144011798312,0.47110829408530563
ye',yehok,say,said,said,decir,dije,,,v_communicative,tr,human;kinship,,,,,,,8446.303185839679,3.4128778932497905
q'oy,q'oyok,scratch,,,rascar,,,,v_action|v_conflict,tr,human;kinship,emotion,body_part,,,,,593.3805862753281,0.23976590001858206
hoyb’,hoyb’ak,scream,,,gritar,,,,v_communicative|v_emotive|v_involuntary,intr,human;kinship;occupation,emotion,,,,,,640.7176188675537,0.25889326361321374
b’iq’,b’iq’ok,scrub,,,fregar,,fregado,,v_hygiene|v_work|v_action,tr,human;kinship,emotion,body_part,,,,,288.40315031266056,0.11653438366927675
chek,chekok,season,,,condimentar,,,,v_creation|v_process,tr,human;kinship,emotion,food,,,,,4501.252062061341,1.8188103501078583
il,ilok,see,saw,seen,ver,vio,visto,,v_perceptive,tr,human;kinship;animal_domesticated;animal_wild;occupation,emotion,animal_domesticated;animal_wild;artifact;clothing;food;human;insect;kinship;tool;vehicle;vegetable,,,,,11659.144011798311,4.711082940853056
b'oj,b'ojok,sew,,,coser,cosió,cosido,,v_creation|v_work|v_process,intr,human;kinship,emotion,clothing,,,,,202.61270126211434,0.0818692383892149
b’aqle,b’aqlenk,shake,shook,shaken,sacudir,,,,v_action|v_process,tr,human;kinship,emotion,artifact;tool;body_part;food;fruit,,,,,770.3120057972146,0.31125816320419725
b’uq,b’uquk,shame,,,avergonzar,,avorgoncé,,v_communicative|v_social|v_emotive,tr,human;kinship,emotion,human;kinship,,,,,1079.7751623277093,0.43630221412920894
jo’,jo’ok,shave,,,rasurarse,,,,v_hygiene|v_action,intr,human;kinship,emotion,,,,,,357.5471604506213,0.14447324146994256
k'ut,kut'uk,show,,,mostrar,miestro,,,v_action,tr,human;kinship,,,,,,,6118.805757518219,2.4724114732151232
pech',pech'ok,shuck,,,desgranar,,,,v_creation|v_work|v_action,tr,human;kinship,emotion,corn,,,,,38.018939632056124,0.015362223654554183
jiq’,jiq’ok,sigh,,,suspirar,,,,v_involuntary|v_emotive|v_communicative,intr,human;kinship,emotion,,,,,,429.86623470822764,0.17369503997320548
b'ich,b'ichank,sing,sang,sung,cantar,,,,v_communicative|v_expression,intr,human;kinship,emotion,,,,,,1063.3265716371616,0.42965587071627065
chunla,chunlaak,sit,sat,sat,sentarse,sentó,sentado,,v_state|v_motion,intr,human;kinship,emotion,,,,,,1847.8497974222926,0.7466563282077702
q’aab’,q'aab'ank,slander,,,difamar,,,,v_communicative|v_social,tr,human;kinship,emotion,human;kinship,,,,,168.5259044750751,0.06809586645991694
yolesi,yolesink,slaughter,,,degollar,,degollado,,v_action|v_conflict|v_work,tr,human;kinship,emotion,animal_domesticated,,,,,363.0780547701014,0.14670809694902373
